Charmander/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Cherrim/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Shellos/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Gastrodon/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Drifloon/Repeat: 100%/Dusk: 100%/Ultra: 97.7%/Great: 73.2%/Net: 48.8%/Level: 97.7%(optimal conditions)/Fast: 48.8%/Heavy: 41%/ALL OTHERS: 48.8%
Drifblim/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Stunky/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 87.9%/Level: 100%(optimal conditions)/Fast: 87.9%/Heavy: 80.1%/ALL OTHERS: 87.9%
Skuntank/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Bronzor/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Bronzong/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 35.2%/ALL OTHERS: 35.2%
Bonsly/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Mime Jr./Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 85%/Net: 56.6%/Level: 100%(optimal conditions)/Fast: 56.6%/Heavy: 48.8%/ALL OTHERS: 56.6%
Munchlax/Repeat: 68.4%/Dusk: 58.6%/Ultra: 39.1%/Great: 29.3%/Net: 19.5%/Level: 39.1%(optimal conditions)/Fast: 19.5%/Heavy: 19.5%/ALL OTHERS: 19.5%
Riolu/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Lucario/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Hippopotas/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 82%/Net: 54.7%/Level: 100%(optimal conditions)/Fast: 54.7%/Heavy: 46.9%/ALL OTHERS: 54.7%
Hippowdon/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 31.3%/ALL OTHERS: 23.4%
Skorupi/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Drapion/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Croagunk/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 82%/Net: 54.7%/Level: 100%(optimal conditions)/Fast: 54.7%/Heavy: 46.9%/ALL OTHERS: 54.7%
Toxicroak/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Mantyke/Repeat: 34.2%/Dusk: 29.3%/Ultra: 19.5%/Great: 14.6%/Net: 34.2%/Level: 19.5%(optimal conditions)/Fast: 9.8%/Heavy: 2%/ALL OTHERS: 9.8%
Snover/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Abomasnow/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 23.4%/ALL OTHERS: 23.4%
Weavile/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Rhyperior/Repeat: 41%/Dusk: 35.2%/Ultra: 23.4%/Great: 17.6%/Net: 11.7%/Level: 23.4%(optimal conditions)/Fast: 11.7%/Heavy: 19.5%/ALL OTHERS: 11.7%
Togekiss/Repeat: 41%/Dusk: 35.2%/Ultra: 23.4%/Great: 17.6%/Net: 11.7%/Level: 23.4%(optimal conditions)/Fast: 11.7%/Heavy: 3.9%/ALL OTHERS: 11.7%
Leafeon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Glaceon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Mamoswine/Repeat: 68.4%/Dusk: 58.6%/Ultra: 39.1%/Great: 29.3%/Net: 19.5%/Level: 39.1%(optimal conditions)/Fast: 19.5%/Heavy: 27.3%/ALL OTHERS: 19.5%
Gallade/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Dusknoir/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Froslass/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 100%/Heavy: 21.5%/ALL OTHERS: 29.3%
Rotom/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Purrloin/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Liepard/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 100%/Heavy: 27.3%/ALL OTHERS: 35.2%
Munna/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Musharna/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Pidove/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Tranquill/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Unfezant/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Roggenrola/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Boldore/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Gigalith/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 25.4%/ALL OTHERS: 17.6%
Woobat/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Swoobat/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 70.3%/Heavy: 9.8%/ALL OTHERS: 17.6%
Drilbur/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Excadrill/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Timburr/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 70.3%/Level: 100%(optimal conditions)/Fast: 70.3%/Heavy: 62.5%/ALL OTHERS: 70.3%
Gurdurr/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Conkeldurr/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Tympole/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Palpitoad/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 100%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Seismitoad/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 61.5%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Throh/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Sawk/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Cottonee/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Whimsicott/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 100%/Heavy: 21.5%/ALL OTHERS: 29.3%
Basculin/Repeat: 34.2%/Dusk: 29.3%/Ultra: 19.5%/Great: 14.6%/Net: 34.2%/Level: 19.5%(optimal conditions)/Fast: 9.8%/Heavy: 2%/ALL OTHERS: 9.8%
Darumaka/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Darmanitan/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 93.8%/Heavy: 23.4%/ALL OTHERS: 23.4%
Dwebble/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Crustle/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 29.3%/ALL OTHERS: 29.3%
Scraggy/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 70.3%/Level: 100%(optimal conditions)/Fast: 70.3%/Heavy: 62.5%/ALL OTHERS: 70.3%
Scrafty/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Sigilyph/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Yamask/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Trubbish/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Garbodor/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 23.4%/ALL OTHERS: 23.4%
Zoroark/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Minccino/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Cinccino/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 93.8%/Heavy: 15.6%/ALL OTHERS: 23.4%
Gothita/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 78.1%/Level: 100%(optimal conditions)/Fast: 78.1%/Heavy: 70.3%/ALL OTHERS: 78.1%
Gothorita/Repeat: 100%/Dusk: 100%/Ultra: 78.1%/Great: 58.6%/Net: 39.1%/Level: 78.1%(optimal conditions)/Fast: 39.1%/Heavy: 31.3%/ALL OTHERS: 39.1%
Gothitelle/Repeat: 68.4%/Dusk: 58.6%/Ultra: 39.1%/Great: 29.3%/Net: 19.5%/Level: 39.1%(optimal conditions)/Fast: 19.5%/Heavy: 11.7%/ALL OTHERS: 19.5%
Solosis/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 78.1%/Level: 100%(optimal conditions)/Fast: 78.1%/Heavy: 70.3%/ALL OTHERS: 78.1%
Duosion/Repeat: 100%/Dusk: 100%/Ultra: 78.1%/Great: 58.6%/Net: 39.1%/Level: 78.1%(optimal conditions)/Fast: 39.1%/Heavy: 31.3%/ALL OTHERS: 39.1%
Reuniclus/Repeat: 68.4%/Dusk: 58.6%/Ultra: 39.1%/Great: 29.3%/Net: 19.5%/Level: 39.1%(optimal conditions)/Fast: 19.5%/Heavy: 11.7%/ALL OTHERS: 19.5%
Vanillite/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Vanillish/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Vanilluxe/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Karrablast/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 78.1%/Heavy: 70.3%/ALL OTHERS: 78.1%
Escavalier/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Frillish/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Jellicent/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 82%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 23.4%/ALL OTHERS: 23.4%
Joltik/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Galvantula/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 100%/Heavy: 21.5%/ALL OTHERS: 29.3%
Ferroseed/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Ferrothorn/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 35.2%/ALL OTHERS: 35.2%
Klink/Repeat: 100%/Dusk: 100%/Ultra: 101.6%/Great: 76.2%/Net: 50.8%/Level: 101.6%(optimal conditions)/Fast: 50.8%/Heavy: 43%/ALL OTHERS: 50.8%
Klang/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Klinklang/Repeat: 41%/Dusk: 35.2%/Ultra: 23.4%/Great: 17.6%/Net: 11.7%/Level: 23.4%(optimal conditions)/Fast: 11.7%/Heavy: 3.9%/ALL OTHERS: 11.7%
Elgyem/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Beheeyem/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Litwick/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Lampent/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Chandelure/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Axew/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Fraxure/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Haxorus/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Cubchoo/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Beartic/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 31.3%/ALL OTHERS: 23.4%
Shelmet/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 100%/Level: 100%(optimal conditions)/Fast: 78.1%/Heavy: 70.3%/ALL OTHERS: 78.1%
Accelgor/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 100%/Level: 58.6%(optimal conditions)/Fast: 100%/Heavy: 21.5%/ALL OTHERS: 29.3%
Stunfisk/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 29.3%/Heavy: 21.5%/ALL OTHERS: 29.3%
Golett/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Golurk/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 46.9%/ALL OTHERS: 35.2%
Pawniard/Repeat: 100%/Dusk: 100%/Ultra: 93.8%/Great: 70.3%/Net: 46.9%/Level: 93.8%(optimal conditions)/Fast: 46.9%/Heavy: 39.1%/ALL OTHERS: 46.9%
Bisharp/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Rufflet/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Braviary/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Vullaby/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Mandibuzz/Repeat: 82%/Dusk: 70.3%/Ultra: 46.9%/Great: 35.2%/Net: 23.4%/Level: 46.9%(optimal conditions)/Fast: 23.4%/Heavy: 15.6%/ALL OTHERS: 23.4%
Heatmor/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Durant/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Deino/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Zweilous/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Hydreigon/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 17.6%/ALL OTHERS: 17.6%
Bunnelby/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 99.6%/Level: 100%(optimal conditions)/Fast: 99.6%/Heavy: 91.8%/ALL OTHERS: 99.6%
Diggersby/Repeat: 100%/Dusk: 100%/Ultra: 99.2%/Great: 74.4%/Net: 49.6%/Level: 99.2%(optimal conditions)/Fast: 49.6%/Heavy: 41.8%/ALL OTHERS: 49.6%
Pancham/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 85.9%/Level: 100%(optimal conditions)/Fast: 85.9%/Heavy: 78.1%/ALL OTHERS: 85.9%
Pangoro/Repeat: 88.9%/Dusk: 76.2%/Ultra: 50.8%/Great: 38.1%/Net: 25.4%/Level: 50.8%(optimal conditions)/Fast: 25.4%/Heavy: 25.4%/ALL OTHERS: 25.4%
Espurr/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Meowstic/Repeat: 100%/Dusk: 87.9%/Ultra: 58.6%/Great: 43.9%/Net: 29.3%/Level: 58.6%(optimal conditions)/Fast: 100%/Heavy: 21.5%/ALL OTHERS: 29.3%
Honedge/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 70.3%/Level: 100%(optimal conditions)/Fast: 70.3%/Heavy: 62.5%/ALL OTHERS: 70.3%
Doublade/Repeat: 100%/Dusk: 100%/Ultra: 70.3%/Great: 52.7%/Net: 35.2%/Level: 70.3%(optimal conditions)/Fast: 35.2%/Heavy: 27.3%/ALL OTHERS: 35.2%
Aegislash/Repeat: 61.5%/Dusk: 52.7%/Ultra: 35.2%/Great: 26.4%/Net: 17.6%/Level: 35.2%(optimal conditions)/Fast: 17.6%/Heavy: 9.8%/ALL OTHERS: 17.6%
Spritzee/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 78.1%/Level: 100%(optimal conditions)/Fast: 78.1%/Heavy: 70.3%/ALL OTHERS: 78.1%
Aromatisse/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 82%/Net: 54.7%/Level: 100%(optimal conditions)/Fast: 54.7%/Heavy: 46.9%/ALL OTHERS: 54.7%
Swirlix/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 78.1%/Level: 100%(optimal conditions)/Fast: 78.1%/Heavy: 70.3%/ALL OTHERS: 78.1%
Slurpuff/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 82%/Net: 54.7%/Level: 100%(optimal conditions)/Fast: 54.7%/Heavy: 46.9%/ALL OTHERS: 54.7%
Inkay/Repeat: 100%/Dusk: 100%/Ultra: 100%/Great: 100%/Net: 74.2%/Level: 100%(optimal conditions)/Fast: 74.2%/Heavy: 66.4%/ALL OTHERS: 74.2%
Malamar/Repeat: 100%/Dusk: 93.8%/Ultra: 62.5%/Great: 46.9%/Net: 31.3%/Level: 62.5%(optimal conditions)/Fast: 31.3%/Heavy: 23.4%/ALL OTHERS: 31.3%
